State,Deaths,Population,Crude Rate,Year
Alabama,51909,4858979,1068.3,2015
Alaska,4316,738432,584.5,2015
Arizona,54299,6828065,795.2,2015
Arkansas,31617,2978204,1061.6,2015
California,259206,39144818,662.2,2015
Colorado,36349,5456574,666.2,2015
Connecticut,30535,3590886,850.3,2015
Delaware,8582,945934,907.3,2015
District of Columbia,4871,672228,724.6,2015
Florida,191737,20271272,945.9,2015
Georgia,79942,10214860,782.6,2015
Hawaii,11053,1431603,772.1,2015
Idaho,13026,1654930,787.1,2015
Illinois,106872,12859995,831,2015
Indiana,62713,6619680,947.4,2015
Iowa,29600,3123899,947.5,2015
Kansas,26664,2911641,915.8,2015
Kentucky,46564,4425092,1052.3,2015
Louisiana,43716,4670724,936,2015
Maine,14479,1329328,1089.2,2015
Maryland,47247,6006401,786.6,2015
Massachusetts,57806,6794422,850.8,2015
Michigan,95140,9922576,958.8,2015
Minnesota,42800,5489594,779.7,2015
Mississippi,31783,2992333,1062.1,2015
Missouri,59871,6083672,984.1,2015
Montana,9942,1032949,962.5,2015
Nebraska,16740,1896190,882.8,2015
Nevada,22879,2890845,791.4,2015
New Hampshire,11984,1330608,900.6,2015
New Jersey,72271,8958013,806.8,2015
New Mexico,17685,2085109,848.2,2015
New York,153628,19795791,776.1,2015
North Carolina,89133,10042802,887.5,2015
North Dakota,6223,756927,822.1,2015
Ohio,118188,11613423,1017.7,2015
Oklahoma,39422,3911338,1007.9,2015
Oregon,35705,4028977,886.2,2015
Pennsylvania,132598,12802503,1035.7,2015
Rhode Island,10163,1056298,962.1,2015
South Carolina,47198,4896146,964,2015
South Dakota,7731,858469,900.6,2015
Tennessee,66570,6600299,1008.6,2015
Texas,189654,27469114,690.4,2015
Utah,17334,2995919,578.6,2015
Vermont,5919,626042,945.5,2015
Virginia,65577,8382993,782.3,2015
Washington,54595,7170351,761.4,2015
West Virginia,22752,1844128,1233.8,2015
Wisconsin,51264,5771337,888.3,2015
Wyoming,4778,586107,815.2,2015
Alabama,52466,4863300,1078.8,2016
Alaska,4494,741894,605.7,2016
Arizona,56645,6931071,817.3,2016
Arkansas,31756,2988248,1062.7,2016
California,262240,39250017,668.1,2016
Colorado,37530,5540545,677.4,2016
Connecticut,30543,3576452,854,2016
Delaware,8874,952065,932.1,2016
District of Columbia,5037,681170,739.5,2016
Florida,197313,20612439,957.3,2016
Georgia,81428,10310371,789.8,2016
Hawaii,10913,1428557,763.9,2016
Idaho,13366,1683140,794.1,2016
Illinois,107020,12801539,836,2016
Indiana,63473,6633053,956.9,2016
Iowa,29538,3134693,942.3,2016
Kansas,26245,2907289,902.7,2016
Kentucky,47827,4436974,1077.9,2016
Louisiana,44306,4681666,946.4,2016
Maine,14182,1331479,1065.1,2016
Maryland,48824,6016447,811.5,2016
Massachusetts,56961,6811779,836.2,2016
Michigan,96231,9928300,969.3,2016
Minnesota,43078,5519952,780.4,2016
Mississippi,31741,2988726,1062,2016
Missouri,59873,6093000,982.7,2016
Montana,9905,1042520,950.1,2016
Nebraska,16217,1907116,850.3,2016
Nevada,23902,2940058,813,2016
New Hampshire,12203,1334795,914.2,2016
New Jersey,73155,8944469,817.9,2016
New Mexico,18365,2081015,882.5,2016
New York,154358,19745289,781.7,2016
North Carolina,90465,10146788,891.6,2016
North Dakota,6242,757952,823.5,2016
Ohio,119572,11614373,1029.5,2016
Oklahoma,39276,3923561,1001,2016
Oregon,35778,4093465,874,2016
Pennsylvania,133040,12784227,1040.7,2016
Rhode Island,9735,1056426,921.5,2016
South Carolina,48130,4961119,970.1,2016
South Dakota,7845,865454,906.5,2016
Tennessee,67857,6651194,1020.2,2016
Texas,191966,27862596,689,2016
Utah,17913,3051217,587.1,2016
Vermont,5909,624594,946.1,2016
Virginia,66473,8411808,790.2,2016
Washington,54769,7288000,751.5,2016
West Virginia,22732,1831102,1241.4,2016
Wisconsin,51815,5778708,896.7,2016
Wyoming,4722,585501,806.5,2016
Alabama,53238,4874747,1092.1,2017
Alaska,4411,739795,596.2,2017
Arizona,57758,7016270,823.2,2017
Arkansas,32588,3004279,1084.7,2017
California,268189,39536653,678.3,2017
Colorado,38063,5607154,678.8,2017
Connecticut,31312,3588184,872.6,2017
Delaware,9178,961939,954.1,2017
District of Columbia,4965,693972,715.4,2017
Florida,203636,20984400,970.4,2017
Georgia,83098,10429379,796.8,2017
Hawaii,11390,1427538,797.9,2017
Idaho,14011,1716943,816,2017
Illinois,109721,12802023,857.1,2017
Indiana,65597,6666818,983.9,2017
Iowa,30530,3145711,970.5,2017
Kansas,27063,2913123,929,2017
Kentucky,48212,4454189,1082.4,2017
Louisiana,45804,4684333,977.8,2017
Maine,14676,1335907,1098.6,2017
Maryland,49926,6052177,824.9,2017
Massachusetts,58803,6859819,857.2,2017
Michigan,97602,9962311,979.7,2017
Minnesota,44371,5576606,795.7,2017
Mississippi,32280,2984100,1081.7,2017
Missouri,61876,6113532,1012.1,2017
Montana,10200,1050493,971,2017
Nebraska,16878,1920076,879,2017
Nevada,24657,2998039,822.4,2017
New Hampshire,12504,1342795,931.2,2017
New Jersey,74846,9005644,831.1,2017
New Mexico,18673,2088070,894.3,2017
New York,155358,19849399,782.7,2017
North Carolina,93157,10273419,906.8,2017
North Dakota,6415,755393,849.2,2017
Ohio,123648,11658609,1060.6,2017
Oklahoma,40452,3930864,1029.1,2017
Oregon,36624,4142776,884,2017
Pennsylvania,135656,12805537,1059.4,2017
Rhode Island,10157,1059639,958.5,2017
South Carolina,49441,5024369,984,2017
South Dakota,7996,869666,919.4,2017
Tennessee,70096,6715984,1043.7,2017
Texas,198106,28304596,699.9,2017
Utah,18035,3101833,581.4,2017
Vermont,6007,623657,963.2,2017
Virginia,68579,8470020,809.7,2017
Washington,56995,7405743,769.6,2017
West Virginia,23276,1815857,1281.8,2017
Wisconsin,52681,5795483,909,2017
Wyoming,4768,579315,823,2017
Alabama,54352,4887871,1112,2018
Alaska,4453,737438,603.8,2018
Arizona,59282,7171646,826.6,2018
Arkansas,32336,3013825,1072.9,2018
California,268818,39557045,679.6,2018
Colorado,38526,5695564,676.4,2018
Connecticut,31230,3572665,874.1,2018
Delaware,9433,967171,975.3,2018
District of Columbia,5008,702455,712.9,2018
Florida,205426,21299325,964.5,2018
Georgia,85202,10519475,809.9,2018
Hawaii,11415,1420491,803.6,2018
Idaho,14261,1754208,813,2018
Illinois,110022,12741080,863.5,2018
Indiana,65693,6691878,981.7,2018
Iowa,30367,3156145,962.2,2018
Kansas,27537,2911505,945.8,2018
Kentucky,48707,4468402,1090,2018
Louisiana,46048,4659978,988.2,2018
Maine,14715,1338404,1099.4,2018
Maryland,50568,6042718,836.8,2018
Massachusetts,59152,6902149,857,2018
Michigan,98903,9995915,989.4,2018
Minnesota,44745,5611179,797.4,2018
Mississippi,32301,2986530,1081.6,2018
Missouri,63117,6126452,1030.2,2018
Montana,9992,1062305,940.6,2018
Nebraska,16904,1929268,876.2,2018
Nevada,24715,3034392,814.5,2018
New Hampshire,12774,1356458,941.7,2018
New Jersey,75765,8908520,850.5,2018
New Mexico,19007,2095428,907.1,2018
New York,157183,19542209,804.3,2018
North Carolina,93885,10383620,904.2,2018
North Dakota,6445,760077,847.9,2018
Ohio,124264,11689442,1063,2018
Oklahoma,40933,3943079,1038.1,2018
Oregon,36187,4190713,863.5,2018
Pennsylvania,134702,12807060,1051.8,2018
Rhode Island,10083,1057315,953.6,2018
South Carolina,50640,5084127,996,2018
South Dakota,7971,882235,903.5,2018
Tennessee,71078,6770010,1049.9,2018
Texas,202211,28701845,704.5,2018
Utah,18354,3161105,580.6,2018
Vermont,6027,626299,962.3,2018
Virginia,69359,8517685,814.3,2018
Washington,56877,7535591,754.8,2018
West Virginia,23478,1805832,1300.1,2018
Wisconsin,53684,5813568,923.4,2018
Wyoming,5070,577737,877.6,2018
Alabama,54108,4903185,1103.5,2019
Alaska,4613,731545,630.6,2019
Arizona,60236,7278717,827.6,2019
Arkansas,32888,3017804,1089.8,2019
California,269831,39512223,682.9,2019
Colorado,39390,5758736,684,2019
Connecticut,31745,3565287,890.4,2019
Delaware,9302,973764,955.3,2019
District of Columbia,4927,705749,698.1,2019
Florida,207002,21477737,963.8,2019
Georgia,85814,10617423,808.2,2019
Hawaii,11559,1415872,816.4,2019
Idaho,14430,1787065,807.5,2019
Illinois,109096,12671821,860.9,2019
Indiana,66001,6732219,980.4,2019
Iowa,30867,3155070,978.3,2019
Kansas,27682,2913314,950.2,2019
Kentucky,48990,4467673,1096.5,2019
Louisiana,45938,4648794,988.2,2019
Maine,15065,1344212,1120.7,2019
Maryland,50800,6045680,840.3,2019
Massachusetts,58630,6892503,850.6,2019
Michigan,99084,9986857,992.1,2019
Minnesota,45514,5639632,807,2019
Mississippi,32964,2976149,1107.6,2019
Missouri,62401,6137428,1016.7,2019
Montana,10402,1068778,973.3,2019
Nebraska,16970,1934408,877.3,2019
Nevada,25586,3080156,830.7,2019
New Hampshire,12744,1359711,937.3,2019
New Jersey,75010,8882190,844.5,2019
New Mexico,19512,2096829,930.5,2019
New York,156375,19453561,803.8,2019
North Carolina,95881,10488084,914.2,2019
North Dakota,6702,762062,879.5,2019
Ohio,123717,11689100,1058.4,2019
Oklahoma,40930,3956971,1034.4,2019
Oregon,37370,4217737,886,2019
Pennsylvania,133983,12801989,1046.6,2019
Rhode Island,10256,1059361,968.1,2019
South Carolina,50962,5148714,989.8,2019
South Dakota,8270,884659,934.8,2019
Tennessee,71935,6829174,1053.3,2019
Texas,203362,28995881,701.3,2019
Utah,18736,3205958,584.4,2019
Vermont,5956,623989,954.5,2019
Virginia,70325,8535519,823.9,2019
Washington,58263,7614893,765.1,2019
West Virginia,23404,1792147,1305.9,2019
Wisconsin,54189,5822434,930.7,2019
Wyoming,5121,578759,884.8,2019
